date,coin,open,high,low,close,volume,market_cap,source
2025-10-13,BNB,1298.7908005975073,1298.7908005975073,1298.7908005975073,1298.7908005975073,9048144207.208094,180775585852.16452,API
2025-10-14,BNB,1293.0722313476617,1293.0722313476617,1293.0722313476617,1293.0722313476617,9460068400.641727,180018433779.75974,API
2025-10-15,BNB,1212.283351974494,1212.283351974494,1212.283351974494,1212.283351974494,8825438559.50392,168894485551.0376,API
2025-10-16,BNB,1161.734804798178,1161.734804798178,1161.734804798178,1161.734804798178,4682445531.806146,161921597426.4193,API
2025-10-17,BNB,1143.731369922843,1143.731369922843,1143.731369922843,1143.731369922843,4415901608.8116665,159172508587.92465,API
2025-10-18,BNB,1071.5486432574182,1071.5486432574182,1071.5486432574182,1071.5486432574182,5491967100.574252,149337696969.78973,API
2025-10-19,BNB,1092.456873698318,1092.456873698318,1092.456873698318,1092.456873698318,2404645661.2866297,152025648190.85864,API
2025-10-20,BNB,1109.7463758132928,1109.7463758132928,1109.7463758132928,1109.7463758132928,2451498835.8070607,154383839123.48035,API
2025-10-21,BNB,1100.594219041398,1100.594219041398,1100.594219041398,1100.594219041398,3059042679.759334,153232298626.44522,API
2025-10-22,BNB,1057.8502060144851,1057.8502060144851,1057.8502060144851,1057.8502060144851,3312841993.6151514,147151945156.75046,API
2025-10-23,BNB,1071.3354220022431,1071.3354220022431,1071.3354220022431,1071.3354220022431,2524047906.4061713,149141843205.3591,API
2025-10-24,BNB,1127.358071433892,1127.358071433892,1127.358071433892,1127.358071433892,4658465652.115295,156747943162.4117,API
2025-10-25,BNB,1109.178393744721,1109.178393744721,1109.178393744721,1109.178393744721,2264878475.243278,154356375659.02368,API
2025-10-26,BNB,1116.6415202338756,1116.6415202338756,1116.6415202338756,1116.6415202338756,1179990839.9169848,155309975825.18158,API
